0.0             0.0             0.0
3.21755E-10	2.13678E-11	0.01022
4.25947E-9	3.30352E-10	0.01228
2.81544E-8	2.4929E-9	0.01433
1.20591E-7	1.19307E-8	0.01639
3.85607E-7	4.19454E-8	0.01844
1.00267E-6	1.18428E-7	0.0205
2.23956E-6	2.84354E-7	0.02256
4.45804E-6	6.03483E-7	0.02461
8.11416E-6	1.16306E-6	0.02667
1.37554E-5	2.07555E-6	0.02872
2.20168E-5	3.47968E-6	0.03078
3.36166E-5	5.54082E-6	0.03283
4.93541E-5	8.45118E-6	0.03489
7.0108E-5	1.24297E-5	0.03694
9.68376E-5	1.77222E-5	0.039
1.30586E-4	2.46012E-5	0.04106
1.72486E-4	3.33664E-5	0.04311
2.23767E-4	4.43452E-5	0.04517
2.85767E-4	5.78937E-5	0.04722
3.59943E-4	7.43977E-5	0.04928
4.47888E-4	9.42741E-5	0.05133
5.51343E-4	1.17973E-4	0.05339
6.72225E-4	1.45982E-4	0.05544
8.12639E-4	1.78824E-4	0.0575
9.74912E-4	2.17065E-4	0.05956
0.00116	2.61317E-4	0.06161
0.00138	3.12242E-4	0.06367
0.00162	3.70553E-4	0.06572
0.0019	4.37026E-4	0.06778
0.00221	5.125E-4	0.06983
0.00257	5.97889E-4	0.07189
0.00298	6.94183E-4	0.07394
0.00344	8.02462E-4	0.076
0.00395	9.23902E-4	0.07806
0.00454	0.00106	0.08011
0.00519	0.00121	0.08217
0.00593	0.00138	0.08422
0.00675	0.00157	0.08628
0.00768	0.00178	0.08833
0.00872	0.00201	0.09039
0.00989	0.00227	0.09244
0.0112	0.00255	0.0945
0.01267	0.00287	0.09656
0.01432	0.00321	0.09861
0.01616	0.0036	0.10067
0.01822	0.00402	0.10272
0.02053	0.00449	0.10478
0.02311	0.00501	0.10683
0.026	0.00557	0.10889
0.02922	0.0062	0.11094
0.03283	0.00689	0.113
0.03686	0.00765	0.11506
0.04136	0.00848	0.11711
0.04638	0.0094	0.11917
0.05198	0.01041	0.12122
0.05822	0.01152	0.12328
0.06517	0.01274	0.12533
0.07291	0.01408	0.12739
0.08153	0.01555	0.12944
0.0911	0.01716	0.1315
0.10174	0.01894	0.13356
0.11355	0.02088	0.13561
0.12664	0.02302	0.13767
0.14115	0.02536	0.13972
0.15721	0.02792	0.14178
0.17497	0.03073	0.14383
0.19459	0.03381	0.14589
0.21625	0.03718	0.14794
0.24013	0.04086	0.15
0.39613	0.06426	0.16
0.6378	0.09981	0.17
1.00445	0.15296	0.18
1.54662	0.23099	0.19
2.26326	0.34345	0.2
2.98315	0.49457	0.21
3.64778	0.67486	0.22
4.42306	0.88793	0.23
5.31443	1.13717	0.24
6.33269	1.42615	0.25
7.48911	1.75855	0.26
8.79546	2.13827	0.27
10.26397	2.5693	0.28
11.90734	3.05585	0.29
13.73195	3.60225	0.3
14.12204	3.7191	0.302
14.13133	3.72189	0.30205
14.14106	3.7248	0.3021
14.15126	3.72786	0.30215
14.16194	3.73106	0.3022
14.17314	3.73442	0.30226
14.18486	3.73794	0.30232
14.19715	3.74162	0.30238
14.21003	3.74548	0.30245
14.22352	3.74953	0.30251
14.23765	3.75377	0.30258
14.25247	3.75821	0.30266
14.26799	3.76287	0.30274
14.28426	3.76775	0.30282
14.30132	3.77286	0.30291
14.31919	3.77822	0.303
14.33792	3.78384	0.30309
14.35756	3.78973	0.30319
14.37814	3.79591	0.30329
14.39971	3.80238	0.3034
14.42233	3.80917	0.30351
14.44604	3.81628	0.30363
14.4709	3.82374	0.30375
14.49696	3.83157	0.30388
14.5243	3.83977	0.30402
14.55296	3.84837	0.30416
14.58301	3.8574	0.30431
14.61453	3.86686	0.30447
14.6476	3.87679	0.30463
14.68227	3.88721	0.3048
14.71865	3.89813	0.30498
14.75682	3.9096	0.30517
14.79687	3.92163	0.30537
14.83888	3.93425	0.30557
14.88297	3.9475	0.30579
14.92925	3.96141	0.30601
14.97782	3.97601	0.30625
15.0288	3.99134	0.3065
15.08233	4.00743	0.30675
15.13853	4.02434	0.30703
15.19755	4.04209	0.30731
15.25953	4.06073	0.30761
15.32463	4.08032	0.30792
15.39302	4.10091	0.30824
15.46488	4.12254	0.30859
15.54039	4.14527	0.30894
15.61976	4.16918	0.30932
15.70319	4.19431	0.30971
15.7909	4.22074	0.31012
15.88314	4.24854	0.31055
15.98015	4.27778	0.311
16.08221	4.30856	0.31147
16.18959	4.34095	0.31196
16.30261	4.37505	0.31248
16.42158	4.41096	0.31302
16.54685	4.44878	0.31359
16.67879	4.48863	0.31418
16.81778	4.53063	0.3148
16.96424	4.5749	0.31545
17.11862	4.62157	0.31614
17.28139	4.67081	0.31685
17.45307	4.72276	0.3176
17.63419	4.7776	0.31838
17.82534	4.8355	0.3192
18.02715	4.89665	0.32005
18.24029	4.96127	0.32095
18.46547	5.02957	0.32189
18.70349	5.10181	0.32288
18.95515	5.17823	0.32391
19.22137	5.25911	0.32499
19.50311	5.34476	0.32612
19.80141	5.4355	0.3273
20.11739	5.53168	0.32854
20.45228	5.63367	0.32984
20.80737	5.74189	0.3312
21.1841	5.85679	0.33262
21.584	5.97884	0.33411
22.00874	6.10857	0.33567
22.46014	6.24654	0.33731
22.94017	6.39338	0.33902
23.45096	6.54976	0.34081
23.99486	6.71641	0.34269
24.57439	6.89413	0.34465
25.19236	7.0838	0.34671
25.85177	7.28638	0.34886
26.55596	7.50291	0.35112
27.30855	7.73455	0.35348
28.11352	7.98255	0.35595
28.97524	8.2483	0.35854
29.89852	8.53332	0.36126
30.88862	8.83929	0.3641
