0.000000000e+000	0.000000000e+000	0.000000000e+000
2.863556301e-304	4.125889662e-307	2.000020000e-003
9.505592980e-204	2.052159881e-206	3.000030000e-003
1.969629454e-153	5.663484973e-156	4.000040000e-003
3.292842401e-123	1.182247386e-125	5.000050000e-003
4.881758048e-103	2.100984136e-105	6.000060000e-003
1.295157010e-088	6.495958962e-091	7.000070000e-003
8.751230581e-078	5.010824025e-080	8.000080000e-003
2.368709811e-069	1.524162661e-071	9.000090000e-003
1.342550468e-062	9.588135753e-065	1.000010000e-002
4.566456107e-057	3.583453929e-059	1.100011000e-002
1.881068330e-052	1.608576305e-054	1.200012000e-002
1.526159737e-048	1.412293277e-050	1.300013000e-002
3.452015029e-045	3.436431281e-047	1.400014000e-002
2.808845590e-042	2.992617322e-044	1.500015000e-002
9.954614903e-040	1.130059549e-041	1.600016000e-002
1.778693101e-037	2.143045348e-039	1.700017000e-002
1.795536408e-035	2.288086265e-037	1.800018000e-002
1.120332829e-033	1.505325129e-035	1.900019000e-002
4.643069758e-032	6.559769090e-034	2.000020000e-002
1.354789578e-030	2.007557146e-032	2.100021000e-002
2.919154147e-029	4.526678407e-031	2.200022000e-002
4.831424538e-028	7.823946283e-030	2.300023000e-002
6.347365714e-027	1.071396479e-028	2.400024000e-002
6.804570279e-026	1.195111795e-027	2.500025000e-002
6.093189430e-025	1.111752102e-026	2.600026000e-002
4.649144914e-024	8.799310365e-026	2.700027000e-002
3.074686399e-023	6.028263853e-025	2.800028000e-002
1.788637641e-022	3.628065474e-024	2.900029000e-002
9.270038713e-022	1.943026237e-023	3.000030000e-002
4.328212882e-021	9.364121382e-023	3.100031000e-002
1.838364133e-020	4.101085883e-022	3.200032000e-002
7.164190891e-020	1.646337276e-021	3.300033000e-002
2.581048569e-019	6.104258886e-021	3.400034000e-002
8.654170720e-019	2.104608059e-020	3.500035000e-002
2.716688100e-018	6.787965508e-020	3.600036000e-002
8.026853384e-018	2.059035116e-019	3.700037000e-002
2.242881305e-017	5.902359554e-019	3.800038000e-002
5.952176671e-017	1.605813024e-018	3.900039000e-002
1.505990912e-016	4.162510720e-018	4.000040000e-002
3.645458376e-016	1.031637572e-017	4.100041000e-002
8.468929072e-016	2.452373943e-017	4.200042000e-002
1.893600524e-015	5.607678120e-017	4.300043000e-002
4.085608022e-015	1.236666309e-016	4.400044000e-002
8.526265442e-015	2.636519057e-016	4.500045000e-002
1.724770803e-014	5.445836677e-016	4.600046000e-002
3.388687671e-014	1.091993367e-015	4.700047000e-002
6.478066682e-014	2.129569225e-015	4.800048000e-002
1.206966615e-013	4.045853713e-015	4.900049000e-002
2.195057182e-013	7.499762897e-015	5.000050000e-002
3.902204801e-013	1.358387900e-014	5.100051000e-002
6.789752444e-013	2.407197079e-014	5.200052000e-002
1.157713327e-012	4.178696794e-014	5.300053000e-002
1.936584021e-012	7.113811086e-014	5.400054000e-002
3.181338150e-012	1.188917042e-013	5.500055000e-002
5.137354518e-012	1.952593298e-013	5.600056000e-002
8.162333925e-012	3.154110415e-013	5.700057000e-002
1.277016704e-011	5.015494839e-013	5.800058000e-002
1.968902013e-011	7.857145459e-013	5.900059000e-002
2.993729039e-011	1.213527541e-012	6.000060000e-002
4.492176124e-011	1.849129401e-012	6.100061000e-002
6.656303602e-011	2.781619366e-012	6.200062000e-002
9.745414516e-011	4.133359349e-012	6.300063000e-002
1.410591022e-010	6.070574876e-012	6.400064000e-002
2.019591242e-010	8.816756182e-012	6.500065000e-002
2.861552276e-010	1.266944287e-011	6.600066000e-002
4.014369486e-010	1.802106222e-011	6.700067000e-002
5.578280212e-010	2.538458492e-011	6.800068000e-002
7.681209536e-010	3.542486171e-011	6.900069000e-002
1.048513578e-009	4.899661098e-011	7.000070000e-002
1.419361795e-009	6.719013880e-011	7.100071000e-002
1.906063879e-009	9.138599000e-011	7.200072000e-002
2.540092860e-009	1.233198505e-010	7.300073000e-002
3.360194619e-009	1.651591464e-010	7.400074000e-002
4.413770460e-009	2.195929138e-010	7.500075000e-002
5.758463956e-009	2.899366458e-010	7.600076000e-002
7.463972969e-009	3.802539538e-010	7.700077000e-002
9.614108681e-009	4.954970171e-010	7.800078000e-002
1.230912446e-008	6.416679285e-010	7.900079000e-002
1.566833829e-008	8.260031768e-010	8.000080000e-002
1.983307323e-008	1.057183642e-009	8.100081000e-002
2.496994140e-008	1.345572613e-009	8.200082000e-002
3.127449735e-008	1.703484459e-009	8.300083000e-002
3.897528769e-008	2.145486731e-009	8.400084000e-002
4.833832419e-008	2.688738564e-009	8.500085000e-002
5.967200827e-008	3.353368414e-009	8.600086000e-002
7.333253518e-008	4.162894232e-009	8.700087000e-002
8.972980657e-008	5.144689325e-009	8.800088000e-002
1.093338807e-007	6.330497261e-009	8.900089000e-002
1.326819894e-007	7.756999241e-009	9.000090000e-002
1.603861520e-007	9.466437515e-009	9.100091000e-002
1.931414153e-007	1.150729846e-008	9.200092000e-002
2.317347505e-007	1.393505909e-008	9.300093000e-002
2.770546365e-007	1.681300070e-008	9.400094000e-002
3.301013596e-007	2.021309375e-008	9.500095000e-002
3.919980614e-007	2.421695765e-008	9.600096000e-002
4.640025629e-007	2.891689980e-008	9.700097000e-002
5.475199962e-007	3.441703768e-008	9.800098000e-002
6.441162746e-007	4.083450840e-008	9.900099000e-002
7.555324289e-007	4.830076965e-008	1.000010000e-001
8.836998429e-007	5.696299659e-008	1.010010100e-001
1.030756414e-006	6.698557868e-008	1.020010200e-001
1.199063675e-006	7.855172099e-008	1.030010300e-001
