4.1447244416     23.200
4.3192447229     24.000
4.34739298503     25.800
4.36055895781     24.000
4.39813160267     22.000
4.50317879787     25.800
4.52621065195     24.000
4.58598250612     25.200
4.64234405513     25.000
4.65520371883     25.300
4.68054738499     24.200
4.75491334251     25.100
4.76822335379     23.000
4.77404592861     24.700
4.81832416293     24.600
4.97499789488     24.300
5.03689653188     21.000
5.05569405766     24.000
5.144697831     24.100
5.30139199388     26.000
5.35634954612     26.800
5.35634954612     24.800
5.39787330858     24.700
5.40280114424     28.200
5.41272878242     19.000
5.55987576785     22.700
5.72887168029     22.500
5.90478060707     22.100
6.26492073833     22.200
6.31481203624     19.860
7.3199193194     16.300
7.329776132     19.210
7.67758034648     17.200
7.74331194044     17.000
8.85310430644     15.200
8.88995946545     15.320
9.49205571645     13.500
9.76683748179     11.600
10.9626103682     14.400
11.3318743719     12.700
11.8037260531     10.000
12.294192809     11.990
13.1196590252     10.000
13.1847915078     11.500
14.3004142661     11.470
14.6725804706     11.790
14.6727666997     10.600
14.896277957     11.400
15.0935851134     8.0000
15.1875807302     9.7000
15.1875807302     9.8000
17.0973982975     10.800
17.8446188177     8.7400
18.4053168357     11.710
18.4053168357     9.8000
18.5922652254     10.100
18.7792367928     10.840
18.9850809917     10.800
19.5112525093     8.6000
20.4514550765     10.000
20.4629091291     10.200
20.6687933     10.200
22.1479608258     11.040
22.3352592142     9.9000
24.3963094796     9.8700
24.3963094796     9.8500
24.5837400497     10.400
25.8960021219     10.890
26.6460434586     8.8700
29.6472640573     10.480
29.851343444     11.000
30.0225180099     8.1300
30.2101523756     9.7000
30.9607368847     9.2000
30.9607368847     8.7500
32.2744275345     9.3600
33.2128962372     9.7400
36.7798265773     10.200
37.3431191004     8.5900
37.5308882304     8.7000
37.9064336919     9.4000
38.6575523952     9.6400
39.4087062908     9.0000
42.0379936331     8.0000
42.6014578216     8.1500
45.9825298737     8.3000
46.9217944046     8.3000
47.8610889208     8.8000
48.0489512616     8.0200
51.0548914842     9.8000
53.4973942374     7.9600
57.6311587913     8.2000
58.1948793413     7.7000
59.1344257987     7.8700
64.3961374957     7.6600
69.846140443     7.7000
73.229054131     7.6000
78.1156549931     7.5200
86.7615737658     7.4000
95.7838102125     7.6100
95.7838102125     7.0000
95.7838102125     7.5600
96.9116132876     7.4800
99.7311408142     7.3300
104.054466949     7.2300
108.941770659     7.2100
110.821519474     7.4900
114.581042217     6.6000
114.956996236     7.2500
121.160279347     6.8900
126.047764932     7.0700
131.875202105     6.8600
133.003117743     6.8600
133.379064951     7.4100
133.379064951     7.1000
189.775505657     7.0700
189.775505657     7.0800
193.535342808     6.9000
264.973132676     7.0000
278.132850174     6.8500
283.772737172     6.9700
330.77194616     7.0600
377.771352897     6.8700
377.771352897     6.9500
387.171251608     6.9200
387.171251608     6.9200
471.770522324     6.7800
553.27152815     6.7000
553.27152815     6.8200
553.27152815     6.8000
553.27152815     6.8100
565.769968607     7.2900
565.769968607     7.8900
571.409941195     7.2000
925.867248151     6.8000
938.089745294     6.9000
938.089745294     7.3900
938.089745294     7.0000
938.089745294     6.7500
2019.730627     7.4500
2019.730627     7.5000
2792.98345543     7.7900
2792.98345543     7.5600
2792.98345543     7.6000
2792.98345543     7.1700
3888.44957816     7.5100
3913.45596319     7.7700
49090561.7672     25.4302
64115521.7672     27.10001
